Date,Price,Open,High,Low,Vol.,Change %
08/11/2021,1.3472,1.3518,1.3543,1.3455,55.73K,-0.27%
09/11/2021,1.355,1.3469,1.3587,1.3455,63.37K,0.58%
10/11/2021,1.3646,1.3556,1.3655,1.3523,66.53K,0.71%
11/11/2021,1.3706,1.3648,1.3724,1.362,60.00K,0.44%
12/11/2021,1.3635,1.3702,1.3745,1.363,53.00K,-0.52%
15/11/2021,1.3609,1.3638,1.3662,1.3566,52.84K,-0.19%
16/11/2021,1.3689,1.3611,1.3714,1.357,71.54K,0.59%
17/11/2021,1.3759,1.3692,1.3777,1.3685,78.71K,0.51%
18/11/2021,1.3738,1.3757,1.3795,1.3709,88.38K,-0.15%
19/11/2021,1.382,1.3736,1.3838,1.3713,67.69K,0.60%
21/11/2021,1.3841,,,,,
22/11/2021,1.3841,1.3822,1.385,1.3745,106.91K,0.15%
23/11/2021,1.3833,1.384,1.3877,1.3817,101.79K,-0.06%
24/11/2021,1.3893,1.3835,1.3922,1.3831,81.60K,0.43%
25/11/2021,1.3904,1.3895,1.3929,1.3869,94.01K,0.08%
26/11/2021,1.4031,1.3908,1.4062,1.3889,119.38K,0.91%
28/11/2021,1.3994,,,,,
29/11/2021,1.3994,1.4052,1.4061,1.3966,66.55K,-0.26%
30/11/2021,1.4029,1.3997,1.4159,1.3944,101.83K,0.25%
01/12/2021,1.4069,1.4033,1.4095,1.3939,96.01K,0.29%
02/12/2021,1.4094,1.4073,1.4117,1.4044,84.38K,0.18%
03/12/2021,1.428,1.4095,1.4301,1.4082,84.85K,1.32%
04/12/2021,1.4182,,,,,
06/12/2021,1.4182,1.4291,1.4297,1.4173,78.93K,-0.69%
07/12/2021,1.4045,1.4183,1.4208,1.4037,97.12K,-0.97%
08/12/2021,1.3941,1.4047,1.4056,1.3918,90.12K,-0.74%
09/12/2021,1.3984,1.3943,1.4015,1.3912,74.27K,0.31%
10/12/2021,1.3941,1.3986,1.4022,1.3921,72.48K,-0.31%
13/12/2021,1.4023,1.3998,1.4064,1.3932,60.65K,0.59%
